transaction_id,user_id,amount,payment_method,transaction_status,failure_reason,timestamps
10114,1356,5314.1,Wallet,Success,Invalid PIN,1/19/2024 14:55
520,1810,1255.57,Card,Success,,1/20/2024 19:35
1351,1786,63.58,upi,success,,2/23/2024 11:40
12664,1783,236.86,Wallet,Success,Invalid PIN,1/31/2024 12:39
4802,1283,736.5,,Failed,Invalid PIN,2/27/2024 2:17
4509,1126,2578.73,UPI,Success,,2/15/2024 3:26
4760,1353,543.39,Card,Failed,Timeout,1/24/2024 8:21
12317,1821,258.72,UPI,FAILED,Bank Server Down,1/2/2024 17:14
7227,1961,517.82,NetBanking,Success,,1/28/2024 0:17
9975,1583,406.3,upi,Success,Bank Server Down,1/24/2024 10:34
2007,1489,930.84,NetBanking,Success,,2/12/2024 5:31
13079,1055,64.18,,Failed,Invalid PIN,1/7/2024 19:26
8104,1475,1979.89,Wallet,Success,Timeout,1/15/2024 13:01
3540,1222,4028.53,Wallet,Success,Timeout,1/10/2024 0:25
2785,1184,1101.62,CARD,Success,,2/7/2024 5:17
1230,1006,239.81,UPI,FAILED,,1/4/2024 1:44
1361,1319,6264.41,NetBanking,Failed,Insufficient Balance,2/20/2024 7:12
8979,1143,903.18,Card,Success,Bank Server Down,1/29/2024 16:56
1658,1140,287.08,Wallet,Failed,Invalid PIN,2/18/2024 3:01
11595,1943,2701.57,upi,Failed,Insufficient Balance,1/1/2024 17:09
11026,1602,614.11,CARD,Success,,1/25/2024 18:40
92,1389,952.26,,Success,Timeout,2/2/2024 12:34
10018,1181,4588.07,,Success,,2/12/2024 6:03
7095,1327,1707.47,Card,Success,,1/4/2024 6:22
4426,1193,1742.12,upi,Success,Invalid PIN,2/11/2024 13:18
1416,1831,191.45,Wallet,Success,,1/5/2024 18:58
13983,1243,666.72,Card,Success,,1/24/2024 6:53
1909,1364,910.5,NetBanking,Success,Insufficient Balance,1/15/2024 10:56
6924,1374,25.95,UPI,Success,Bank Server Down,1/19/2024 14:58
10765,1395,3707.17,CARD,Success,Invalid PIN,2/12/2024 18:27
3210,1549,1972.96,,Success,Invalid PIN,2/27/2024 4:57
11133,1393,1280.96,Wallet,Success,,1/6/2024 10:31
10006,1832,4647.75,upi,Success,Timeout,2/9/2024 20:38
12075,1479,1321.53,CARD,success,Bank Server Down,1/25/2024 0:22
11629,1194,4102.08,upi,Success,Invalid PIN,2/18/2024 16:38
7600,1170,293.06,,success,Invalid PIN,1/6/2024 3:49
4101,1774,371.28,Wallet,success,Insufficient Balance,1/11/2024 0:50
8188,1440,1057.58,CARD,Success,Insufficient Balance,2/4/2024 16:32
2128,1242,444.55,NetBanking,Success,,2/3/2024 1:45
961,1675,665.09,Wallet,Success,,2/11/2024 19:59
8291,1366,407.18,NetBanking,Success,Timeout,2/13/2024 6:22
1288,1442,1137.65,CARD,Success,Invalid PIN,1/21/2024 22:15
11621,1214,1771.96,upi,Success,,2/22/2024 17:34
4276,1557,2795.66,upi,Success,,2/18/2024 16:16
6487,1313,4347.61,NetBanking,Success,,2/22/2024 10:09
8367,1764,450.62,upi,Failed,,2/10/2024 7:56
9338,1696,675.1,Card,Success,Invalid PIN,2/4/2024 19:15
12526,1912,1154.03,NetBanking,Success,Timeout,2/4/2024 11:21
3781,1210,230.78,upi,Failed,Bank Server Down,1/21/2024 0:35
7017,1309,470.77,upi,FAILED,Insufficient Balance,2/18/2024 16:56
5083,1936,-2087.69,CARD,Success,,1/18/2024 2:15
6273,1449,186.72,Card,Success,Invalid PIN,2/17/2024 23:43
3265,1072,3641.77,,Failed,Bank Server Down,2/26/2024 21:54
1114,1334,1481.5,Card,Success,Insufficient Balance,2/13/2024 21:06
1461,1615,4189.44,,Success,,2/8/2024 19:06
392,1967,208.72,,Success,Timeout,2/20/2024 16:31
11236,1979,1174.88,UPI,Success,,1/17/2024 18:09
11898,1992,400.62,,Success,Insufficient Balance,2/22/2024 13:29
12222,1283,1081.54,,Success,,2/15/2024 13:05
1126,1329,2096.44,Wallet,Success,Timeout,2/24/2024 4:16
4369,1468,1703.45,CARD,Success,,1/26/2024 19:31
14784,1699,1561.55,UPI,Success,Bank Server Down,2/15/2024 22:40
1600,1312,8558.35,,FAILED,Invalid PIN,2/2/2024 19:45
11778,1470,5729.67,,FAILED,,2/25/2024 0:55
10166,1913,11.55,Wallet,Success,Insufficient Balance,1/30/2024 17:06
562,1149,596.4,NetBanking,Success,Invalid PIN,2/28/2024 15:33
12667,1691,295.22,CARD,Success,,1/14/2024 1:30
11504,1897,775.49,UPI,Success,Invalid PIN,1/15/2024 8:12
6392,1744,482.91,CARD,Success,Bank Server Down,2/10/2024 23:33
13234,1100,166.18,Wallet,success,Bank Server Down,1/28/2024 23:21
2594,1722,1904.28,UPI,Success,,1/14/2024 22:16
9081,1229,975.18,,Success,,2/10/2024 18:46
1079,1733,2018.35,NetBanking,Success,Timeout,2/1/2024 10:29
4885,1574,2300.7,Wallet,Success,,1/18/2024 12:50
13419,1588,352.31,upi,Success,Bank Server Down,1/16/2024 6:37
14177,1239,737.83,,Success,Invalid PIN,1/29/2024 16:47
7281,1374,415.25,CARD,FAILED,Timeout,2/26/2024 21:54
12825,1716,5450.41,,Failed,Insufficient Balance,2/23/2024 10:09
6999,1806,2269.23,Card,Success,,2/16/2024 4:47
13135,1573,516.23,CARD,Failed,,1/5/2024 11:41
5902,1140,-1392.55,UPI,Success,,2/29/2024 2:53
7433,1542,995.2,UPI,Success,Insufficient Balance,1/19/2024 14:00
6998,1438,1214.33,Wallet,FAILED,Insufficient Balance,1/15/2024 21:50
6626,1257,1034.37,,Failed,,2/26/2024 13:13
13084,1848,889.18,UPI,Success,Bank Server Down,2/17/2024 7:44
12731,1312,601,NetBanking,Failed,Invalid PIN,2/19/2024 18:55
14339,1949,1017.14,UPI,Success,Insufficient Balance,1/26/2024 11:55
7263,1608,4560.27,NetBanking,Success,Timeout,2/15/2024 14:32
6988,1427,339.63,Card,Success,Bank Server Down,2/26/2024 15:25
4125,1757,3392.95,CARD,,,2/19/2024 18:07
1024,1098,2301.55,,Success,Bank Server Down,2/29/2024 12:21
12734,1870,1915.93,NetBanking,Success,,1/26/2024 12:30
1788,1499,1917.92,,Success,,2/12/2024 8:30
2797,1383,3617.7,,Success,Invalid PIN,1/16/2024 15:29
10300,1061,299.71,,Success,Timeout,2/11/2024 20:39
8115,1290,1760.9,upi,Failed,Timeout,2/20/2024 9:42
2856,1584,2382.3,Card,Failed,Timeout,1/18/2024 9:48
13309,1968,1467.42,CARD,Success,Bank Server Down,1/10/2024 17:11
6065,1042,4180.12,CARD,Success,,1/1/2024 15:42
2224,1567,794.64,upi,Success,Insufficient Balance,2/29/2024 11:18
9384,1709,36.5,,Success,,1/6/2024 3:35
13581,1042,235.27,NetBanking,Success,Timeout,2/25/2024 12:02
1904,1243,21.46,upi,Success,Timeout,1/4/2024 21:06
5906,1590,666.94,Card,Success,,2/6/2024 23:42
13240,1678,4744.57,Card,Success,,1/29/2024 22:26
1388,1776,484.69,NetBanking,Success,Invalid PIN,2/16/2024 10:34
7460,1784,4071.35,NetBanking,Success,Timeout,2/13/2024 14:15
8126,1836,41.63,,Success,Invalid PIN,1/3/2024 22:51
2616,1724,2579.8,UPI,Success,Bank Server Down,1/3/2024 11:02
5442,1138,238.14,CARD,Success,,2/11/2024 21:36
13548,1076,233.72,CARD,FAILED,Timeout,2/8/2024 4:40
11727,1914,293.42,NetBanking,Success,,2/17/2024 0:48
10323,1230,6.54,NetBanking,Failed,,2/5/2024 17:50
9139,1972,1061.74,UPI,Success,Insufficient Balance,2/6/2024 19:11
7812,1837,1834.24,UPI,Failed,Timeout,1/23/2024 1:55
3836,1137,286.94,CARD,Success,Invalid PIN,1/20/2024 15:56
14676,1086,1445.95,Wallet,Success,,1/17/2024 23:33
8612,1091,2548.06,NetBanking,Success,,2/9/2024 11:47
1300,1581,699.08,NetBanking,Success,,2/13/2024 16:38
9978,1683,114.42,Card,Success,Timeout,2/22/2024 0:26
1301,1502,456.55,CARD,Success,,1/11/2024 21:43
9852,1391,1868.89,Card,Success,,2/22/2024 5:54
8230,1447,418.88,CARD,Success,,2/15/2024 6:51
12322,1545,2049.22,,Success,,1/19/2024 12:47
10460,1372,6254,UPI,Success,Bank Server Down,2/12/2024 8:36
2445,1235,23,Wallet,Failed,Insufficient Balance,1/14/2024 0:09
9826,1656,1351.65,,FAILED,Bank Server Down,1/14/2024 2:36
6828,1214,4783.91,Card,Success,,1/4/2024 8:39
10834,1188,1005.86,UPI,success,Bank Server Down,2/6/2024 23:48
13041,1663,1435.18,upi,Success,Bank Server Down,2/3/2024 16:47
11045,1282,1295.23,Wallet,Failed,Insufficient Balance,2/6/2024 9:14
3991,1609,43.35,Wallet,Success,,2/13/2024 16:11
11379,1823,438.26,CARD,Success,Invalid PIN,2/27/2024 21:38
11845,1730,337.76,CARD,success,Bank Server Down,1/25/2024 4:07
11424,1490,3906.4,upi,Success,,2/17/2024 4:04
4422,1940,189.49,CARD,Success,Bank Server Down,2/8/2024 3:13
7446,1190,379.08,Wallet,Success,Insufficient Balance,1/1/2024 12:46
7245,1104,429.68,,Failed,Insufficient Balance,2/13/2024 14:37
11337,1203,99.48,Wallet,Success,Timeout,1/14/2024 13:45
14588,1796,2082.82,upi,Failed,Timeout,2/27/2024 3:57
4644,1074,12.35,CARD,Success,Insufficient Balance,2/23/2024 20:36
13463,1273,59.99,UPI,Success,,2/29/2024 2:18
4549,1419,445.6,upi,Success,Insufficient Balance,1/30/2024 20:01
8038,1419,1588.65,,Success,Invalid PIN,1/18/2024 5:19
8795,1940,277.15,Card,Failed,,1/6/2024 15:07
11099,1491,3013.6,CARD,Success,Insufficient Balance,2/2/2024 16:49
6145,1362,357.12,Card,Success,,1/5/2024 18:10
7753,1071,3184.12,CARD,Success,Insufficient Balance,2/13/2024 18:59
10012,1529,92.44,upi,Success,Invalid PIN,1/16/2024 16:51
1421,1228,2214.8,UPI,Success,Bank Server Down,2/10/2024 2:38
1522,1626,3141.44,UPI,Failed,,1/25/2024 19:34
3014,1375,381.64,NetBanking,Success,,1/12/2024 0:53
1586,1000,2174.38,upi,Failed,Bank Server Down,1/27/2024 18:08
1989,1628,1297.39,CARD,Success,Insufficient Balance,1/25/2024 14:09
13045,1335,6.95,UPI,Failed,,1/31/2024 0:17
9463,1218,178.65,Wallet,Success,Bank Server Down,2/13/2024 23:40
12715,1343,390.46,NetBanking,Failed,,2/13/2024 0:25
9321,1127,1238.22,NetBanking,Failed,Insufficient Balance,2/1/2024 15:25
1998,1476,1079.97,CARD,Success,Insufficient Balance,2/20/2024 15:57
3316,1091,2709.02,Wallet,Success,,2/17/2024 5:31
7096,1730,5727.4,CARD,Success,,1/12/2024 9:05
2041,1893,2362.63,CARD,FAILED,,1/30/2024 12:17
3734,1905,2595.41,Wallet,Success,,2/4/2024 13:24
960,1347,3271.97,Card,Success,Insufficient Balance,1/31/2024 10:58
649,1219,1226.78,Wallet,Success,,2/10/2024 1:19
4452,1092,1498.06,CARD,Success,,1/9/2024 7:48
14726,1792,205.81,CARD,Success,,1/19/2024 8:17
9830,1882,140.1,Card,Success,Timeout,1/20/2024 15:24
1560,1804,202.84,UPI,success,Invalid PIN,1/17/2024 10:20
9987,1217,1158.36,Wallet,Failed,Insufficient Balance,1/21/2024 9:59
2131,1329,450.75,NetBanking,Success,Insufficient Balance,1/30/2024 3:08
8074,1598,1642.13,upi,Success,Invalid PIN,2/17/2024 10:23
8579,1711,576.39,Wallet,Failed,Invalid PIN,1/24/2024 15:01
6771,1111,232.95,Card,Success,,2/26/2024 2:00
13218,1519,1767.54,CARD,Success,Bank Server Down,1/21/2024 21:39
825,1633,1640.98,upi,Success,Bank Server Down,1/17/2024 19:33
2246,1344,400.46,CARD,Success,Insufficient Balance,1/7/2024 13:13
8884,1888,2.15,Wallet,Failed,Invalid PIN,2/3/2024 8:42
11185,1108,1966.07,UPI,Success,,1/31/2024 19:52
5042,1877,1424.05,NetBanking,FAILED,Insufficient Balance,2/4/2024 15:15
8105,1082,749.54,UPI,Success,,1/11/2024 16:37
12380,1384,2247.28,NetBanking,Success,Insufficient Balance,1/20/2024 16:57
8349,1948,267.74,Card,Failed,,2/6/2024 14:29
735,1616,2148.67,UPI,Success,,1/3/2024 3:36
11244,1655,2036.29,upi,Success,,1/2/2024 7:45
14228,1382,295.92,Card,Success,,1/22/2024 23:44
10813,1224,1645.8,UPI,Failed,Invalid PIN,2/5/2024 18:57
10966,1697,3666.68,upi,,Bank Server Down,2/6/2024 6:19
3358,1882,1493.24,UPI,Success,Insufficient Balance,1/3/2024 19:51
5419,1160,5683.97,UPI,Success,,1/4/2024 22:13
13746,1491,243.37,Wallet,success,Bank Server Down,2/21/2024 11:59
10775,1749,2088.75,,Success,Bank Server Down,1/26/2024 23:40
6063,1859,1196.17,upi,Failed,Insufficient Balance,1/30/2024 14:49
5332,1433,364.71,,Success,Insufficient Balance,2/29/2024 0:39
11641,1392,2849.27,CARD,success,,1/15/2024 20:20
1816,1493,1272.42,NetBanking,Success,,1/15/2024 5:26
3969,1160,1701.48,CARD,,,1/4/2024 16:01
9164,1476,110.15,Wallet,Success,Bank Server Down,1/19/2024 5:30
9362,1293,717.89,UPI,Success,Invalid PIN,1/21/2024 1:45
1666,1031,433.84,upi,Success,,1/3/2024 14:38
14386,1165,3795.36,Card,Failed,Timeout,2/23/2024 13:26
6049,1340,1913.48,Wallet,Success,Timeout,1/23/2024 16:25
1688,1946,2483.48,upi,Success,,1/7/2024 0:24
5535,1834,122.97,CARD,Success,,1/6/2024 5:35
1483,1156,4061.56,Wallet,Success,,1/17/2024 20:55
10628,1325,3288.2,NetBanking,Success,Timeout,2/25/2024 4:48
2767,1058,442.38,Wallet,Failed,Insufficient Balance,2/27/2024 17:14
3372,1819,2076.13,CARD,Success,,1/5/2024 8:07
3676,1655,28.58,upi,Failed,Timeout,2/26/2024 7:45
8361,1477,46.71,,Failed,Insufficient Balance,2/12/2024 9:16
10164,1003,8628.88,,Success,Insufficient Balance,2/22/2024 23:14
1003,1118,6539.16,Card,Failed,,1/5/2024 4:51
118,1748,2905.07,,success,,2/7/2024 20:15
13909,1446,2352.85,Wallet,Success,Bank Server Down,2/23/2024 5:05
4370,1766,395.65,CARD,Success,Invalid PIN,1/21/2024 4:48
13767,1256,394.59,upi,FAILED,,2/23/2024 4:04
1371,1901,3937.52,upi,FAILED,,1/27/2024 8:14
6272,1615,1820.53,,Success,Timeout,2/26/2024 15:44
14557,1266,275.67,Wallet,Failed,Invalid PIN,1/4/2024 18:42
1834,1033,545.17,UPI,Success,,1/10/2024 4:31
1386,1328,294.06,UPI,success,Timeout,2/3/2024 11:26
959,1121,1054.42,Wallet,Success,Timeout,1/22/2024 0:03
9755,1237,6410.77,UPI,Failed,Invalid PIN,1/12/2024 9:44
8944,1734,244.33,upi,Success,Timeout,2/17/2024 13:06
10694,1848,218.06,Card,Success,Bank Server Down,1/16/2024 0:57
11260,1848,3591.74,Wallet,FAILED,,2/21/2024 16:18
2627,1531,5.38,Card,Success,,1/12/2024 2:50
6884,1807,1379.8,Wallet,success,Insufficient Balance,1/12/2024 1:24
11056,1425,608.19,Wallet,,Invalid PIN,1/5/2024 18:37
14993,1521,2005.81,,Success,Bank Server Down,2/11/2024 0:06
10268,1753,2456.55,upi,Failed,Bank Server Down,2/13/2024 17:40
14989,1209,3692.93,NetBanking,Success,Bank Server Down,1/5/2024 3:30
232,1639,1659.29,NetBanking,Success,Invalid PIN,2/25/2024 14:12
63,1840,214.89,UPI,Success,Bank Server Down,1/25/2024 0:00
8883,1610,165.28,upi,Success,,1/22/2024 20:43
2762,1118,4011.76,Wallet,Success,Insufficient Balance,1/26/2024 20:11
239,1384,960.34,UPI,Success,,1/14/2024 11:46
3287,1781,285.94,Wallet,Success,,2/26/2024 9:33
13258,1544,257.69,NetBanking,Failed,,1/19/2024 9:04
3264,1525,5071.85,upi,Success,Bank Server Down,2/8/2024 5:33
13583,1755,1003.44,Wallet,Success,Invalid PIN,2/18/2024 0:44
4470,1189,2001.82,upi,Success,Timeout,2/12/2024 20:45
521,1245,1726.09,upi,FAILED,Invalid PIN,2/10/2024 3:04
546,1882,276.35,CARD,success,Timeout,1/12/2024 7:09
4287,1506,1186.19,,Success,Insufficient Balance,2/17/2024 10:19
12903,1891,1758.86,,Success,Insufficient Balance,1/12/2024 10:53
6047,1755,808.5,CARD,Failed,Timeout,1/24/2024 22:50
2769,1160,4351.66,Wallet,Success,,2/28/2024 10:39
14402,1169,29.93,CARD,Failed,Timeout,2/5/2024 6:48
13788,1697,2839.81,Card,Success,Timeout,1/15/2024 6:11
7615,1287,2813.59,Wallet,success,Bank Server Down,1/29/2024 16:25
14249,1745,296.79,UPI,Failed,Invalid PIN,2/17/2024 23:53
10522,1095,177.55,UPI,Failed,,1/26/2024 2:21
5458,1570,653.97,NetBanking,Failed,Insufficient Balance,2/14/2024 20:17
14466,1770,1336.97,Wallet,Success,,1/30/2024 1:21
9689,1665,45.91,UPI,Failed,Bank Server Down,1/1/2024 23:53
7992,1200,746.11,Wallet,Success,,2/26/2024 16:26
2551,1382,716.16,upi,Success,Timeout,1/23/2024 23:22
10805,1649,2370.25,,Success,Bank Server Down,2/11/2024 23:56
11526,1245,2233.68,UPI,Success,Timeout,1/11/2024 8:15
4508,1332,1528.92,,Success,Timeout,1/29/2024 23:40
8610,1318,1844.12,UPI,Success,,1/25/2024 14:54
6596,1768,1767.36,NetBanking,Success,Insufficient Balance,1/9/2024 23:26
5002,1631,205.54,upi,FAILED,,1/2/2024 18:57
13480,1252,385.69,upi,Failed,Timeout,1/4/2024 16:52
11323,1235,2246.25,upi,Failed,,2/10/2024 15:37
3504,1434,1262.7,UPI,success,,2/27/2024 5:55
11815,1788,1264.44,Wallet,Failed,Bank Server Down,2/15/2024 21:16
8845,1438,783.68,NetBanking,success,Insufficient Balance,2/24/2024 7:31
6025,1136,1305.88,CARD,Success,,2/6/2024 22:56
4017,1955,276.05,upi,Success,Timeout,2/23/2024 6:56
14932,1597,1211.16,CARD,Failed,,1/26/2024 17:06
6676,1927,2421.57,Wallet,success,Invalid PIN,1/31/2024 4:30
2661,1866,772.36,Card,Success,,2/17/2024 3:57
9725,1935,1162.92,Wallet,Success,,2/23/2024 18:54
8820,1944,1017.71,upi,Failed,,1/1/2024 5:31
6835,1211,713.08,Card,Failed,,1/7/2024 15:16
7350,1974,394.46,,FAILED,Invalid PIN,2/24/2024 22:44
2153,1572,1903.08,upi,Success,Bank Server Down,1/11/2024 4:18
14513,1290,0,NetBanking,,,2/19/2024 16:06
8881,1271,-607.54,CARD,,Timeout,2/13/2024 14:23
11495,1143,1959.38,upi,Success,,2/29/2024 16:27
2690,1837,2476,Card,Success,Invalid PIN,1/23/2024 22:44
2059,1028,1459.14,CARD,Failed,Timeout,2/28/2024 4:42
3891,1925,2478.38,Card,Success,Invalid PIN,1/14/2024 3:08
9986,1185,2968.42,,Success,Bank Server Down,1/13/2024 14:19
93,1565,2927.02,,Success,Invalid PIN,1/8/2024 19:07
4172,1571,681.2,,Failed,Insufficient Balance,2/5/2024 22:51
4870,1364,29.74,UPI,Failed,Invalid PIN,1/8/2024 6:48
12305,1301,2128.2,CARD,success,Timeout,1/9/2024 18:30
1583,1181,855.48,UPI,Success,Bank Server Down,1/17/2024 11:05
14725,1520,782.02,upi,Success,Bank Server Down,2/24/2024 11:13
14525,1284,2156.07,,Success,,1/9/2024 1:57
12637,1905,3296.97,NetBanking,Failed,,2/18/2024 7:04
8548,1899,416.24,UPI,Success,Insufficient Balance,1/24/2024 18:55
13382,1879,132.87,,Failed,,2/22/2024 17:21
9125,1497,1006.71,UPI,Success,Insufficient Balance,1/19/2024 16:26
3995,1609,758.24,Card,Success,Insufficient Balance,1/3/2024 22:42
2659,1910,2274.75,CARD,Success,,1/10/2024 10:18
6451,1506,2115.98,Wallet,Failed,Insufficient Balance,1/22/2024 15:41
158,1779,3544.3,Card,Success,Invalid PIN,2/13/2024 17:50
12404,1092,2364.32,upi,Success,Invalid PIN,1/30/2024 6:13
1974,1537,976.81,,Failed,Bank Server Down,1/24/2024 0:00
8418,1857,509,,Success,,2/23/2024 12:14
1677,1768,1079.9,UPI,Success,,2/2/2024 0:05
11348,1514,1064.68,NetBanking,Success,Bank Server Down,2/3/2024 16:57
7432,1246,108.03,UPI,Success,,1/30/2024 8:35
7466,1848,1749.16,upi,Success,Invalid PIN,2/15/2024 1:03
6707,1650,3882.85,CARD,Success,Invalid PIN,2/28/2024 11:26
2899,1472,2908.44,upi,Failed,Bank Server Down,1/1/2024 20:44
8932,1790,947.53,UPI,,Invalid PIN,1/31/2024 16:56
11523,1069,106.29,NetBanking,Success,,2/26/2024 13:33
8364,1188,257.36,UPI,Failed,Invalid PIN,2/8/2024 18:42
9151,1780,3576.12,Card,Failed,Invalid PIN,1/26/2024 20:46
13246,1782,605.97,CARD,Success,Bank Server Down,2/9/2024 1:04
12412,1873,4325.39,Wallet,Success,Insufficient Balance,1/14/2024 8:59
9077,1282,417.19,NetBanking,Success,Invalid PIN,2/14/2024 7:21
1955,1775,3669.91,upi,Failed,,1/5/2024 4:07
8294,1920,52.46,UPI,Success,Bank Server Down,2/14/2024 22:23
11592,1292,5425.19,upi,,,1/9/2024 5:31
5210,1226,227.69,upi,Success,Timeout,1/7/2024 20:43
3197,1632,426.77,Wallet,success,,1/19/2024 12:26
11777,1497,1278.85,NetBanking,Success,,1/24/2024 7:52
4517,1583,3665.96,UPI,Failed,,2/24/2024 5:58
14079,1286,410.08,Wallet,Failed,Invalid PIN,1/18/2024 4:52
2009,1272,444.47,,Success,,1/9/2024 13:02
12069,1833,2824.44,UPI,Failed,,1/22/2024 4:18
2395,1386,616.48,NetBanking,Failed,Bank Server Down,1/17/2024 1:27
4797,1786,768.59,UPI,success,Timeout,2/8/2024 9:22
13349,1557,2706.31,UPI,Success,Bank Server Down,1/5/2024 7:18
4462,1823,1327.76,upi,Success,Bank Server Down,2/6/2024 19:01
10864,1178,1190.78,Card,Success,,2/16/2024 5:20
2485,1552,1097.23,NetBanking,Success,,1/22/2024 9:35
655,1452,1253.09,Card,Success,Timeout,2/19/2024 3:26
6207,1282,239.61,upi,Success,Invalid PIN,1/22/2024 14:16
12799,1706,504.49,,Success,Invalid PIN,1/26/2024 21:30
2592,1965,1418.49,Card,Success,Insufficient Balance,1/17/2024 18:02
1589,1566,4730.81,Card,Failed,Timeout,1/3/2024 7:45
10624,1417,652.22,CARD,Success,Invalid PIN,2/4/2024 2:52
10789,1051,503.62,UPI,Failed,,1/7/2024 2:37
1970,1570,574,upi,Success,Bank Server Down,1/27/2024 14:47
2119,1563,595,Wallet,Failed,,2/22/2024 12:23
1379,1012,1862.67,,Success,Invalid PIN,2/23/2024 4:25
14562,1448,1166.5,,success,Insufficient Balance,1/22/2024 8:34
8383,1354,5047.57,NetBanking,Failed,,1/18/2024 4:56
9594,1876,1324.86,CARD,Success,Timeout,1/2/2024 13:21
14037,1769,3194.95,Card,success,,2/5/2024 1:54
13431,1111,2002.96,upi,Success,,1/10/2024 22:10
12665,1199,1931.9,UPI,Success,Insufficient Balance,1/17/2024 2:02
3666,1806,1020.31,Card,,,2/4/2024 15:19
5988,1351,440.39,CARD,Success,,1/20/2024 6:56
7566,1193,824.3,NetBanking,Success,Bank Server Down,2/25/2024 5:28
2255,1132,4575.77,Card,Success,,2/28/2024 8:10
6466,1347,1338.87,CARD,Success,Timeout,1/27/2024 3:46
11773,1814,1677.13,upi,Success,Bank Server Down,2/24/2024 8:57
4686,1627,1031.88,Card,Success,Timeout,2/26/2024 12:22
8344,1986,1270.35,,Failed,,2/3/2024 16:37
9846,1641,2355.69,UPI,Success,,1/30/2024 4:33
14883,1839,1947.1,upi,Success,,1/25/2024 15:47
12888,1400,519.34,Card,Success,Timeout,2/12/2024 22:46
3850,1914,4979.82,CARD,Success,Invalid PIN,1/13/2024 0:25
6358,1102,2985.44,upi,Success,Timeout,1/9/2024 23:07
1085,1302,429.38,Card,Success,Invalid PIN,1/23/2024 6:47
3242,1341,5309.51,upi,,,1/18/2024 23:48
2441,1205,15.87,,Success,Invalid PIN,2/3/2024 11:31
8137,1586,1862.11,,Success,,2/1/2024 6:43
9584,1167,1585.48,,Success,,2/15/2024 16:55
14917,1236,1736.27,CARD,Success,,2/5/2024 11:17
2556,1899,5195.8,NetBanking,Success,,2/28/2024 2:17
9014,1972,401.54,Card,Failed,Bank Server Down,1/15/2024 14:19
2467,1319,3367.99,,Success,Insufficient Balance,1/19/2024 10:24
964,1697,1186.56,CARD,Failed,,2/8/2024 17:43
895,1894,494.24,Card,Success,,2/1/2024 13:22
7857,1637,246.75,UPI,Failed,,1/25/2024 4:31
14558,1540,341.83,CARD,Success,Invalid PIN,2/16/2024 18:48
3220,1577,4679.59,Wallet,Success,,1/20/2024 12:42
12428,1129,2187.38,upi,,Insufficient Balance,2/8/2024 22:28
11175,1591,1358.35,upi,Success,Invalid PIN,1/31/2024 18:40
7267,1471,3769.89,Card,success,,2/3/2024 3:23
506,1287,7063.49,,success,,2/10/2024 8:29
2154,1890,1388.12,NetBanking,,,1/13/2024 22:11
5650,1876,2678.03,,Failed,Bank Server Down,1/24/2024 14:16
6769,1403,7738.7,upi,Success,,1/18/2024 2:10
