"TRANSACTION_ID","USER_ID","AMOUNT","PAYMENT_METHOD","TRANSACTION_STATUS","FAILURE_REASON","TXN_TIMESTAMP"
114,1701,1387.93,"UPI","FAILED","Timeout",29-FEB-24 06.02.00.000000000 PM
116,1724,341.13,"WALLET","SUCCESS","",24-FEB-24 03.17.00.000000000 AM
118,1748,2905.07,"UNKNOWN","SUCCESS","",07-FEB-24 08.15.00.000000000 PM
121,1052,470.75,"CARD","SUCCESS","",18-FEB-24 08.26.00.000000000 PM
124,1216,1665.45,"CARD","SUCCESS","",25-JAN-24 08.23.00.000000000 PM
126,1187,720.03,"WALLET","FAILED","Insufficient Balance",09-FEB-24 01.56.00.000000000 PM
130,1156,2790.72,"UPI","SUCCESS","",10-JAN-24 06.20.00.000000000 PM
134,1856,984.32,"UPI","SUCCESS","",29-FEB-24 06.29.00.000000000 AM
135,1838,922.9,"CARD","FAILED","Bank Server Down",11-JAN-24 01.41.00.000000000 PM
137,1343,1325.18,"NETBANKING","SUCCESS","",13-FEB-24 12.09.00.000000000 AM
142,1138,4594,"UPI","FAILED","Insufficient Balance",04-FEB-24 11.20.00.000000000 PM
144,1592,1884.31,"UNKNOWN","SUCCESS","",05-FEB-24 02.32.00.000000000 AM
146,1674,2893.85,"NETBANKING","UNKNOWN","Timeout",29-JAN-24 04.01.00.000000000 PM
156,1200,1626.52,"NETBANKING","SUCCESS","",28-JAN-24 12.07.00.000000000 PM
157,1839,348.79,"UPI","FAILED","Invalid PIN",05-FEB-24 02.54.00.000000000 AM
158,1779,3544.3,"CARD","SUCCESS","",13-FEB-24 05.50.00.000000000 PM
162,1502,404.9,"UNKNOWN","SUCCESS","",10-FEB-24 03.06.00.000000000 AM
174,1738,2716.89,"UPI","SUCCESS","",21-JAN-24 11.55.00.000000000 PM
175,1612,1077.08,"WALLET","FAILED","Invalid PIN",13-JAN-24 06.14.00.000000000 PM
176,1942,217.96,"CARD","SUCCESS","",11-FEB-24 02.08.00.000000000 AM
180,1004,3204.38,"UPI","SUCCESS","",02-JAN-24 05.06.00.000000000 AM
181,1217,789.9,"UPI","SUCCESS","",14-JAN-24 07.04.00.000000000 AM
182,1502,513.48,"UNKNOWN","SUCCESS","",21-JAN-24 01.16.00.000000000 AM
186,1794,704.16,"CARD","SUCCESS","",04-FEB-24 03.34.00.000000000 AM
187,1392,303.06,"UPI","SUCCESS","",21-JAN-24 12.04.00.000000000 AM
188,1206,843.32,"UPI","SUCCESS","",29-JAN-24 03.50.00.000000000 AM
189,1014,6244.77,"WALLET","FAILED","Bank Server Down",24-JAN-24 09.17.00.000000000 PM
192,1891,2247.43,"UPI","SUCCESS","",12-FEB-24 01.46.00.000000000 AM
198,1240,858.35,"WALLET","FAILED","Insufficient Balance",12-JAN-24 07.24.00.000000000 PM
203,1484,147.78,"CARD","SUCCESS","",17-JAN-24 06.52.00.000000000 PM
214,1698,117.27,"WALLET","FAILED","Insufficient Balance",27-JAN-24 08.33.00.000000000 AM
224,1795,2134.41,"NETBANKING","SUCCESS","",27-FEB-24 05.39.00.000000000 AM
227,1555,555.64,"UNKNOWN","SUCCESS","",10-FEB-24 08.40.00.000000000 PM
228,1339,518.61,"UPI","FAILED","Reason unknown",05-JAN-24 05.21.00.000000000 AM
232,1639,1659.29,"NETBANKING","SUCCESS","",25-FEB-24 02.12.00.000000000 PM
235,1472,1707.87,"CARD","UNKNOWN","Insufficient Balance",07-JAN-24 09.11.00.000000000 AM
236,1230,1408.68,"UNKNOWN","SUCCESS","",07-JAN-24 02.05.00.000000000 AM
238,1224,887.97,"CARD","SUCCESS","",16-FEB-24 04.34.00.000000000 PM
239,1384,960.34,"UPI","SUCCESS","",14-JAN-24 11.46.00.000000000 AM
246,1744,565.56,"UPI","SUCCESS","",10-JAN-24 03.53.00.000000000 PM
247,1258,1505.49,"CARD","SUCCESS","",28-JAN-24 05.55.00.000000000 AM
249,1709,1485.49,"UPI","SUCCESS","",15-FEB-24 06.06.00.000000000 PM
250,1455,149.8,"NETBANKING","SUCCESS","",25-JAN-24 02.14.00.000000000 AM
251,1410,149.65,"UPI","UNKNOWN","",15-FEB-24 09.42.00.000000000 AM
254,1676,5686.23,"UPI","SUCCESS","",10-FEB-24 05.33.00.000000000 PM
265,1471,235.17,"WALLET","SUCCESS","",23-FEB-24 06.09.00.000000000 AM
272,1563,282.02,"CARD","FAILED","Reason unknown",18-JAN-24 11.47.00.000000000 PM
273,1267,123.41,"CARD","SUCCESS","",09-JAN-24 05.49.00.000000000 PM
275,1806,2303.75,"NETBANKING","SUCCESS","",11-FEB-24 03.11.00.000000000 PM
279,1612,12389.6,"NETBANKING","SUCCESS","",07-FEB-24 08.05.00.000000000 AM
280,1624,419.7,"UPI","UNKNOWN","Insufficient Balance",20-JAN-24 12.05.00.000000000 AM
282,1080,1324.5,"UPI","SUCCESS","",09-JAN-24 01.33.00.000000000 PM
291,1735,399.87,"UNKNOWN","SUCCESS","",25-FEB-24 05.06.00.000000000 PM
292,1224,132.24,"UPI","SUCCESS","",05-JAN-24 02.22.00.000000000 PM
294,1402,28.66,"CARD","SUCCESS","",19-FEB-24 08.07.00.000000000 AM
297,1052,650.84,"UNKNOWN","SUCCESS","",29-JAN-24 01.19.00.000000000 AM
298,1683,793.51,"CARD","SUCCESS","",07-JAN-24 02.41.00.000000000 AM
300,1671,473.14,"CARD","FAILED","Reason unknown",06-FEB-24 07.50.00.000000000 AM
303,1246,2102.3,"CARD","FAILED","Reason unknown",20-FEB-24 05.21.00.000000000 AM
307,1183,585.28,"CARD","SUCCESS","",13-FEB-24 06.57.00.000000000 PM
309,1400,530.04,"WALLET","SUCCESS","",09-JAN-24 11.30.00.000000000 AM
310,1766,1617.17,"CARD","FAILED","Insufficient Balance",29-FEB-24 05.45.00.000000000 AM
314,1883,1406.97,"CARD","FAILED","Invalid PIN",22-JAN-24 12.27.00.000000000 PM
325,1186,161.3,"WALLET","SUCCESS","",24-JAN-24 10.52.00.000000000 AM
329,1770,145.34,"UNKNOWN","SUCCESS","",06-JAN-24 07.29.00.000000000 PM
332,1954,1676.03,"UPI","SUCCESS","",21-FEB-24 04.51.00.000000000 AM
334,1402,763.3,"UNKNOWN","SUCCESS","",01-JAN-24 12.17.00.000000000 AM
338,1146,2438.83,"UPI","FAILED","Reason unknown",18-JAN-24 02.23.00.000000000 AM
340,1863,1925.3,"CARD","UNKNOWN","Timeout",14-JAN-24 01.45.00.000000000 PM
342,1819,431.23,"NETBANKING","FAILED","Reason unknown",06-JAN-24 09.26.00.000000000 AM
343,1488,615.25,"WALLET","SUCCESS","",18-JAN-24 06.24.00.000000000 AM
345,1935,908.87,"UNKNOWN","SUCCESS","",18-JAN-24 04.25.00.000000000 AM
347,1550,360.37,"UPI","SUCCESS","",12-JAN-24 03.11.00.000000000 AM
354,1472,2369.06,"CARD","SUCCESS","",10-JAN-24 03.34.00.000000000 PM
363,1143,4275.06,"CARD","SUCCESS","",04-FEB-24 07.13.00.000000000 AM
366,1571,2044.61,"NETBANKING","SUCCESS","",16-JAN-24 01.08.00.000000000 AM
367,1880,2458.24,"CARD","SUCCESS","",11-FEB-24 07.53.00.000000000 AM
375,1159,1585.42,"CARD","SUCCESS","",13-FEB-24 07.09.00.000000000 AM
377,1232,665.6,"UPI","SUCCESS","",18-FEB-24 02.58.00.000000000 AM
381,1207,2949.96,"UPI","FAILED","Reason unknown",16-JAN-24 09.04.00.000000000 PM
383,1403,852.32,"WALLET","FAILED","Reason unknown",04-FEB-24 12.52.00.000000000 PM
384,1151,758.08,"WALLET","SUCCESS","",10-FEB-24 11.05.00.000000000 PM
391,1624,413.39,"CARD","SUCCESS","",28-JAN-24 03.13.00.000000000 AM
392,1967,208.72,"UNKNOWN","SUCCESS","",20-FEB-24 04.31.00.000000000 PM
398,1226,1966.31,"UPI","SUCCESS","",25-FEB-24 02.52.00.000000000 AM
400,1509,4011.04,"UPI","FAILED","Timeout",19-JAN-24 06.37.00.000000000 PM
402,1098,672.87,"UPI","SUCCESS","",27-FEB-24 12.11.00.000000000 PM
403,1152,2255.46,"WALLET","SUCCESS","",26-JAN-24 03.06.00.000000000 AM
405,1913,3351.89,"UPI","SUCCESS","",10-JAN-24 08.07.00.000000000 AM
407,1877,1134.04,"UPI","SUCCESS","",11-JAN-24 06.38.00.000000000 AM
412,1719,699.27,"UNKNOWN","SUCCESS","",14-JAN-24 02.11.00.000000000 AM
414,1680,1234.91,"NETBANKING","UNKNOWN","Invalid PIN",09-JAN-24 03.09.00.000000000 AM
416,1160,578.9,"CARD","UNKNOWN","Bank Server Down",30-JAN-24 03.07.00.000000000 PM
418,1800,789.48,"UPI","SUCCESS","",25-JAN-24 03.15.00.000000000 PM
426,1134,3622.67,"CARD","FAILED","Insufficient Balance",14-FEB-24 11.46.00.000000000 PM
428,1400,837.7,"CARD","SUCCESS","",03-JAN-24 11.14.00.000000000 AM
430,1032,1477.89,"WALLET","SUCCESS","",23-FEB-24 02.48.00.000000000 AM
437,1021,2022.36,"CARD","SUCCESS","",28-JAN-24 01.30.00.000000000 AM
439,1669,2630.02,"WALLET","SUCCESS","",19-FEB-24 05.15.00.000000000 AM
441,1229,2369.04,"CARD","SUCCESS","",08-JAN-24 03.45.00.000000000 PM
443,1562,1705.21,"CARD","SUCCESS","",13-JAN-24 05.13.00.000000000 PM
445,1775,43.89,"WALLET","SUCCESS","",17-JAN-24 11.58.00.000000000 AM
446,1282,619.05,"CARD","FAILED","Invalid PIN",07-JAN-24 10.59.00.000000000 AM
447,1026,171.19,"WALLET","SUCCESS","",13-JAN-24 11.19.00.000000000 PM
449,1276,2738.48,"CARD","SUCCESS","",20-FEB-24 12.34.00.000000000 PM
451,1608,1101.53,"NETBANKING","SUCCESS","",30-JAN-24 12.25.00.000000000 PM
452,1283,1255.97,"CARD","UNKNOWN","",13-JAN-24 10.08.00.000000000 PM
453,1878,1235.4,"UPI","SUCCESS","",05-JAN-24 08.28.00.000000000 AM
459,1658,1761.38,"UNKNOWN","SUCCESS","",19-FEB-24 03.09.00.000000000 PM
461,1546,3123.62,"CARD","SUCCESS","",03-JAN-24 09.25.00.000000000 PM
465,1016,1201.57,"CARD","SUCCESS","",25-FEB-24 10.46.00.000000000 AM
467,1219,182.3,"NETBANKING","SUCCESS","",06-FEB-24 02.17.00.000000000 PM
472,1517,1673.03,"NETBANKING","SUCCESS","",13-JAN-24 04.03.00.000000000 AM
479,1496,202.35,"CARD","SUCCESS","",27-JAN-24 08.25.00.000000000 AM
480,1301,1699.32,"NETBANKING","UNKNOWN","Invalid PIN",20-FEB-24 01.18.00.000000000 AM
485,1992,4164.69,"UNKNOWN","SUCCESS","",24-FEB-24 06.18.00.000000000 PM
486,1115,143.53,"UNKNOWN","FAILED","Bank Server Down",25-JAN-24 12.24.00.000000000 AM
491,1982,1448.81,"UNKNOWN","SUCCESS","",31-JAN-24 04.09.00.000000000 PM
492,1160,1578.45,"WALLET","FAILED","Insufficient Balance",30-JAN-24 02.59.00.000000000 PM
493,1255,332.64,"UPI","SUCCESS","",25-FEB-24 03.59.00.000000000 AM
495,1127,1615.35,"UPI","FAILED","Reason unknown",21-JAN-24 05.54.00.000000000 PM
496,1017,3607.37,"UPI","UNKNOWN","",02-FEB-24 12.45.00.000000000 AM
497,1792,6058.98,"CARD","SUCCESS","",31-JAN-24 08.28.00.000000000 PM
499,1565,216.01,"WALLET","SUCCESS","",15-FEB-24 01.00.00.000000000 AM
502,1871,523.73,"WALLET","SUCCESS","",13-FEB-24 02.16.00.000000000 AM
503,1685,2.72,"WALLET","FAILED","Insufficient Balance",08-JAN-24 05.43.00.000000000 PM
506,1287,7063.49,"UNKNOWN","SUCCESS","",10-FEB-24 08.29.00.000000000 AM
507,1942,1112.06,"CARD","FAILED","Invalid PIN",06-FEB-24 06.26.00.000000000 PM
508,1853,343.58,"CARD","FAILED","Bank Server Down",05-JAN-24 05.16.00.000000000 AM
512,1154,217.86,"UNKNOWN","SUCCESS","",29-JAN-24 01.57.00.000000000 PM
517,1103,2126.58,"CARD","FAILED","Insufficient Balance",10-JAN-24 11.17.00.000000000 PM
520,1810,1255.57,"CARD","SUCCESS","",20-JAN-24 07.35.00.000000000 PM
521,1245,1726.09,"UPI","FAILED","Invalid PIN",10-FEB-24 03.04.00.000000000 AM
530,1920,3118.44,"WALLET","SUCCESS","",18-FEB-24 12.35.00.000000000 PM
533,1827,3916.68,"UNKNOWN","SUCCESS","",23-JAN-24 07.55.00.000000000 PM
535,1902,1972.94,"WALLET","UNKNOWN","",03-JAN-24 10.20.00.000000000 PM
536,1824,685.92,"WALLET","SUCCESS","",27-FEB-24 03.56.00.000000000 PM
540,1320,1945.25,"UNKNOWN","SUCCESS","",29-JAN-24 02.08.00.000000000 PM
542,1511,2446.79,"UPI","SUCCESS","",09-FEB-24 03.02.00.000000000 AM
546,1882,276.35,"CARD","SUCCESS","",12-JAN-24 07.09.00.000000000 AM
548,1142,5560.6,"UPI","SUCCESS","",15-FEB-24 09.35.00.000000000 AM
549,1091,2149.82,"WALLET","SUCCESS","",25-JAN-24 09.05.00.000000000 AM
550,1353,825.88,"UPI","SUCCESS","",22-FEB-24 11.18.00.000000000 AM
557,1664,438.04,"UPI","SUCCESS","",11-FEB-24 05.40.00.000000000 PM
559,1574,160.97,"CARD","SUCCESS","",29-JAN-24 02.46.00.000000000 PM
562,1149,596.4,"NETBANKING","SUCCESS","",28-FEB-24 03.33.00.000000000 PM
569,1837,62.16,"CARD","SUCCESS","",07-FEB-24 11.14.00.000000000 AM
570,1782,743.3,"UPI","FAILED","Bank Server Down",13-FEB-24 09.24.00.000000000 PM
572,1443,2436.87,"UNKNOWN","SUCCESS","",16-FEB-24 05.16.00.000000000 AM
574,1992,342.68,"CARD","SUCCESS","",04-FEB-24 01.00.00.000000000 AM
576,1052,8315.84,"UPI","FAILED","Insufficient Balance",07-JAN-24 04.22.00.000000000 AM
577,1571,163.68,"CARD","SUCCESS","",20-JAN-24 04.36.00.000000000 AM
581,1195,353.92,"UPI","SUCCESS","",02-FEB-24 02.09.00.000000000 PM
582,1773,1032.8,"UPI","FAILED","Reason unknown",21-JAN-24 10.30.00.000000000 PM
583,1876,969.45,"NETBANKING","SUCCESS","",21-JAN-24 03.03.00.000000000 PM
584,1991,3476.63,"UPI","SUCCESS","",10-JAN-24 08.33.00.000000000 PM
585,1883,53.04,"NETBANKING","FAILED","Reason unknown",08-FEB-24 01.11.00.000000000 PM
586,1349,578.23,"UNKNOWN","SUCCESS","",24-FEB-24 05.47.00.000000000 AM
596,1105,1571.43,"CARD","FAILED","Bank Server Down",17-JAN-24 10.56.00.000000000 AM
597,1669,267.88,"UPI","FAILED","Timeout",11-FEB-24 09.24.00.000000000 PM
599,1656,228.17,"WALLET","SUCCESS","",09-FEB-24 05.33.00.000000000 AM
600,1119,1407.8,"CARD","FAILED","Bank Server Down",29-FEB-24 05.01.00.000000000 AM
601,1830,296.39,"WALLET","FAILED","Invalid PIN",27-JAN-24 01.40.00.000000000 AM
602,1786,383.82,"CARD","SUCCESS","",13-JAN-24 12.26.00.000000000 PM
606,1345,2390.7,"NETBANKING","FAILED","Invalid PIN",16-JAN-24 02.03.00.000000000 AM
608,1473,3504.23,"UPI","SUCCESS","",14-FEB-24 10.28.00.000000000 AM
614,1907,146.91,"UNKNOWN","SUCCESS","",06-FEB-24 07.26.00.000000000 AM
618,1512,4689.88,"CARD","FAILED","Bank Server Down",31-JAN-24 05.04.00.000000000 AM
619,1750,1797.35,"NETBANKING","FAILED","Reason unknown",01-JAN-24 05.30.00.000000000 PM
623,1117,1081.41,"NETBANKING","FAILED","Reason unknown",16-FEB-24 06.17.00.000000000 AM
626,1487,1323.59,"CARD","SUCCESS","",28-JAN-24 01.03.00.000000000 PM
629,1896,2130.1,"UPI","SUCCESS","",06-FEB-24 08.01.00.000000000 AM
630,1271,2367.14,"UNKNOWN","UNKNOWN","Invalid PIN",28-FEB-24 08.25.00.000000000 AM
631,1188,1437.47,"UNKNOWN","SUCCESS","",05-FEB-24 02.02.00.000000000 AM
632,1998,6394.78,"UNKNOWN","SUCCESS","",15-FEB-24 09.04.00.000000000 PM
634,1446,2951.89,"CARD","SUCCESS","",14-JAN-24 07.13.00.000000000 AM
645,1085,1865.54,"CARD","SUCCESS","",26-FEB-24 03.58.00.000000000 AM
648,1973,1827.41,"WALLET","SUCCESS","",17-JAN-24 08.56.00.000000000 PM
649,1219,1226.78,"WALLET","SUCCESS","",10-FEB-24 01.19.00.000000000 AM
655,1452,1253.09,"CARD","SUCCESS","",19-FEB-24 03.26.00.000000000 AM
656,1203,762.24,"UNKNOWN","SUCCESS","",09-FEB-24 11.05.00.000000000 AM
657,1911,502.36,"UNKNOWN","SUCCESS","",17-FEB-24 07.46.00.000000000 AM
658,1217,279.48,"CARD","FAILED","Reason unknown",08-JAN-24 03.09.00.000000000 PM
667,1356,69.21,"CARD","SUCCESS","",03-JAN-24 03.32.00.000000000 AM
669,1761,3083.41,"UPI","SUCCESS","",10-FEB-24 10.08.00.000000000 PM
670,1521,154.81,"UPI","FAILED","Reason unknown",16-JAN-24 04.03.00.000000000 AM
671,1757,859.85,"UNKNOWN","SUCCESS","",24-JAN-24 08.43.00.000000000 PM
677,1905,641.63,"UPI","SUCCESS","",15-FEB-24 10.58.00.000000000 PM
680,1441,1125.55,"UPI","SUCCESS","",13-JAN-24 12.26.00.000000000 PM
684,1515,15.6,"CARD","SUCCESS","",04-FEB-24 09.00.00.000000000 PM
685,1015,1475.95,"UNKNOWN","SUCCESS","",30-JAN-24 09.44.00.000000000 PM
687,1335,1578.18,"NETBANKING","SUCCESS","",19-FEB-24 02.42.00.000000000 PM
691,1987,97.38,"NETBANKING","SUCCESS","",05-FEB-24 11.46.00.000000000 AM
701,1544,624.83,"CARD","SUCCESS","",11-FEB-24 12.27.00.000000000 PM
703,1956,1326.94,"UNKNOWN","SUCCESS","",11-FEB-24 09.45.00.000000000 PM
705,1426,2655.01,"UPI","FAILED","Insufficient Balance",26-FEB-24 09.43.00.000000000 AM
707,1267,1666.76,"CARD","SUCCESS","",03-FEB-24 02.00.00.000000000 AM
711,1167,4693.76,"WALLET","FAILED","Timeout",27-JAN-24 06.20.00.000000000 PM
712,1841,2183.18,"NETBANKING","SUCCESS","",16-FEB-24 10.17.00.000000000 AM
722,1498,571.89,"UPI","SUCCESS","",03-JAN-24 09.42.00.000000000 PM
727,1089,2853.49,"UPI","FAILED","Reason unknown",13-JAN-24 03.28.00.000000000 PM
728,1775,827.29,"CARD","SUCCESS","",30-JAN-24 07.19.00.000000000 PM
730,1921,2.38,"WALLET","FAILED","Reason unknown",04-JAN-24 03.12.00.000000000 AM
731,1969,1111.28,"UNKNOWN","FAILED","Bank Server Down",24-FEB-24 10.21.00.000000000 PM
732,1601,632.56,"UNKNOWN","FAILED","Reason unknown",06-FEB-24 03.54.00.000000000 PM
733,1417,8781.16,"CARD","UNKNOWN","",22-JAN-24 11.22.00.000000000 PM
734,1114,2220.32,"WALLET","FAILED","Invalid PIN",19-JAN-24 05.51.00.000000000 PM
735,1616,2148.67,"UPI","SUCCESS","",03-JAN-24 03.36.00.000000000 AM
741,1492,712.88,"CARD","SUCCESS","",13-JAN-24 03.25.00.000000000 AM
743,1412,1492.99,"UNKNOWN","FAILED","Invalid PIN",23-FEB-24 02.11.00.000000000 AM
745,1419,814.73,"UPI","SUCCESS","",14-JAN-24 01.45.00.000000000 AM
748,1760,1795.85,"UNKNOWN","SUCCESS","",07-JAN-24 02.29.00.000000000 AM
750,1393,3077.82,"NETBANKING","FAILED","Invalid PIN",26-JAN-24 03.11.00.000000000 PM
760,1998,1659.62,"NETBANKING","SUCCESS","",18-JAN-24 06.16.00.000000000 PM
761,1095,111.79,"WALLET","FAILED","Timeout",06-JAN-24 06.06.00.000000000 AM
762,1663,2063.42,"WALLET","SUCCESS","",15-FEB-24 03.58.00.000000000 AM
765,1735,451.78,"UNKNOWN","UNKNOWN","",15-FEB-24 10.12.00.000000000 AM
767,1779,454.35,"CARD","SUCCESS","",20-JAN-24 03.02.00.000000000 PM
770,1524,415.53,"CARD","FAILED","Timeout",12-FEB-24 08.30.00.000000000 AM
776,1272,3643.46,"NETBANKING","UNKNOWN","Invalid PIN",30-JAN-24 08.50.00.000000000 AM
782,1341,1735.65,"UNKNOWN","SUCCESS","",29-JAN-24 09.31.00.000000000 PM
784,1698,1141.13,"WALLET","FAILED","Bank Server Down",21-FEB-24 07.20.00.000000000 PM
788,1395,554.09,"CARD","FAILED","Reason unknown",06-FEB-24 10.57.00.000000000 PM
790,1232,4988.61,"CARD","SUCCESS","",25-JAN-24 04.54.00.000000000 PM
792,1075,34.21,"WALLET","SUCCESS","",24-FEB-24 12.46.00.000000000 AM
798,1383,1109.02,"UNKNOWN","SUCCESS","",18-JAN-24 11.03.00.000000000 PM
805,1068,570.8,"UNKNOWN","SUCCESS","",07-JAN-24 09.09.00.000000000 PM
807,1395,220.55,"CARD","SUCCESS","",13-FEB-24 08.56.00.000000000 AM
808,1024,2166.12,"WALLET","SUCCESS","",24-FEB-24 11.32.00.000000000 PM
810,1890,4082.92,"UPI","SUCCESS","",03-JAN-24 09.12.00.000000000 PM
813,1564,3433.27,"UPI","FAILED","Timeout",18-JAN-24 09.19.00.000000000 AM
814,1150,4248.78,"CARD","SUCCESS","",10-FEB-24 11.45.00.000000000 AM
815,1143,3031.5,"UNKNOWN","SUCCESS","",12-JAN-24 07.05.00.000000000 PM
816,1568,508.57,"WALLET","FAILED","Reason unknown",26-JAN-24 10.59.00.000000000 PM
817,1038,607.64,"WALLET","SUCCESS","",21-JAN-24 09.35.00.000000000 AM
819,1692,225.01,"WALLET","SUCCESS","",13-FEB-24 09.15.00.000000000 PM
820,1041,33.79,"UNKNOWN","UNKNOWN","",28-FEB-24 02.33.00.000000000 PM
822,1934,1211.59,"WALLET","SUCCESS","",21-JAN-24 08.36.00.000000000 PM
823,1397,1407.51,"UPI","SUCCESS","",13-FEB-24 04.09.00.000000000 AM
825,1633,1640.98,"UPI","SUCCESS","",17-JAN-24 07.33.00.000000000 PM
826,1132,1760.91,"UNKNOWN","SUCCESS","",06-JAN-24 05.01.00.000000000 PM
831,1842,3844.56,"NETBANKING","SUCCESS","",16-JAN-24 01.45.00.000000000 PM
832,1657,3232.22,"CARD","SUCCESS","",02-JAN-24 12.21.00.000000000 PM
834,1587,2919.39,"UPI","FAILED","Bank Server Down",13-FEB-24 02.38.00.000000000 PM
837,1953,801.57,"CARD","FAILED","Reason unknown",21-JAN-24 05.08.00.000000000 AM
838,1491,990.71,"UNKNOWN","FAILED","Bank Server Down",04-FEB-24 10.29.00.000000000 PM
847,1392,1794.24,"NETBANKING","SUCCESS","",13-JAN-24 05.57.00.000000000 PM
852,1516,149.58,"CARD","SUCCESS","",10-FEB-24 06.03.00.000000000 AM
854,1164,782.84,"CARD","UNKNOWN","",14-JAN-24 03.32.00.000000000 AM
856,1338,247.62,"CARD","SUCCESS","",04-JAN-24 07.58.00.000000000 AM
857,1647,291.55,"CARD","SUCCESS","",13-JAN-24 05.25.00.000000000 PM
870,1069,184.13,"NETBANKING","SUCCESS","",06-FEB-24 01.06.00.000000000 AM
872,1414,4814.36,"UPI","SUCCESS","",12-FEB-24 06.08.00.000000000 AM
873,1786,663.51,"UPI","SUCCESS","",16-JAN-24 10.55.00.000000000 PM
875,1875,274.18,"NETBANKING","SUCCESS","",11-FEB-24 12.28.00.000000000 AM
876,1181,7406.95,"UPI","SUCCESS","",19-FEB-24 05.48.00.000000000 AM
877,1166,1241.78,"NETBANKING","SUCCESS","",15-JAN-24 10.49.00.000000000 AM
883,1125,5046.32,"NETBANKING","SUCCESS","",01-FEB-24 06.29.00.000000000 AM
887,1753,123.75,"UPI","FAILED","Reason unknown",26-JAN-24 03.07.00.000000000 AM
889,1637,566.59,"CARD","SUCCESS","",16-FEB-24 06.05.00.000000000 PM
893,1455,288.03,"UPI","UNKNOWN","Insufficient Balance",25-JAN-24 12.51.00.000000000 PM
895,1894,494.24,"CARD","SUCCESS","",01-FEB-24 01.22.00.000000000 PM
907,1408,222.57,"CARD","SUCCESS","",12-FEB-24 03.48.00.000000000 AM
910,1933,1158.02,"UPI","SUCCESS","",10-JAN-24 01.53.00.000000000 PM
920,1148,773.03,"UPI","SUCCESS","",16-JAN-24 07.10.00.000000000 PM
938,1414,2134.61,"UNKNOWN","SUCCESS","",14-JAN-24 11.24.00.000000000 PM
948,1011,635.74,"UPI","SUCCESS","",17-JAN-24 09.11.00.000000000 PM
951,1783,944.53,"UPI","SUCCESS","",20-FEB-24 11.45.00.000000000 AM
952,1967,411.82,"UPI","FAILED","Timeout",09-JAN-24 06.44.00.000000000 PM
959,1121,1054.42,"WALLET","SUCCESS","",22-JAN-24 12.03.00.000000000 AM
960,1347,3271.97,"CARD","SUCCESS","",31-JAN-24 10.58.00.000000000 AM
961,1675,665.09,"WALLET","SUCCESS","",11-FEB-24 07.59.00.000000000 PM
